pk,age,sex,geoid,ii_1,ii_2,ii_3,tm_2_no_hisp_lat_orgn,tm_2_yes_mex_am_chicano_orgn,tm_2_yes_puerto_rican,tm_2_yes_cuban_origin,tm_2_yes_anthr_hisp_lat_spn_origin,tm_3_amrcn_indn_alsk_ntv,tm_3_asian,tm_3_blck_afrcn_amrcn,tm_3_hwan_other_pcfc_islander,tm_3_white,tm_3_other,tm_4,tm_5,tm_6,cn_hs_1,cn_hs_2_bug_infestation,cn_hs_2_mold,cn_hs_2_lead_paint_pipes,cn_hs_2_inadq_heat,cn_hs_2_oven_not_wkg,cn_hs_2_smoke_det_not_wkg,cn_hs_2_water_leaks,cn_hs_2_none_of_the_above,cn_fd_1,cn_fd_2,cn_tr_1,cn_ut_1,cn_sf_1,cn_sf_2,cn_sf_3,cn_sf_4,sn_ff_2
4111,23,F,080770008002,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",3,MORE_THN_25_LESS_THEN_35K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,SOMETIMES,NEVER,FRLY_OFTN,FRLY_OFTN
13485,68,M,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,GRD_12_HGH_SCHL,1,"","",,,,,,,,,NEVER_TRUE,NEVER_TRUE,"","","","","","",""
13406,42,F,080770008002,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,CLG_1_3,4,"",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
6188,81,M,080770008002,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_1_3,2,MORE_THN_15_LESS_THEN_20K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,"",NEVER
14187,46,F,080770008002,OTHER,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,GRD_12_HGH_SCHL,3,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
10334,29,M,080770008002,MYSELF,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
17335,7,F,080770008002,MY_CHILD,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",7,MORE_THN_50_LESS_THEN_75K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
4078,17,M,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",6,"",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
300,34,F,080770008002,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,GRD_12_HGH_SCHL,5,MORE_THN_10_LESS_THEN_15K,STDY_HSNG,,,,,,,,,SMTM_TRUE,SMTM_TRUE,NO,YES,"","","","",""
14901,33,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,GRD_12_HGH_SCHL,5,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,SMTM_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
