pk,age,sex,geoid,ii_1,ii_2,ii_3,tm_2_no_hisp_lat_orgn,tm_2_yes_mex_am_chicano_orgn,tm_2_yes_puerto_rican,tm_2_yes_cuban_origin,tm_2_yes_anthr_hisp_lat_spn_origin,tm_3_amrcn_indn_alsk_ntv,tm_3_asian,tm_3_blck_afrcn_amrcn,tm_3_hwan_other_pcfc_islander,tm_3_white,tm_3_other,tm_4,tm_5,tm_6,cn_hs_1,cn_hs_2_bug_infestation,cn_hs_2_mold,cn_hs_2_lead_paint_pipes,cn_hs_2_inadq_heat,cn_hs_2_oven_not_wkg,cn_hs_2_smoke_det_not_wkg,cn_hs_2_water_leaks,cn_hs_2_none_of_the_above,cn_fd_1,cn_fd_2,cn_tr_1,cn_ut_1,cn_sf_1,cn_sf_2,cn_sf_3,cn_sf_4,sn_ff_2
14462,62,M,080770007003,MYSELF,ONE,NONE_OF_THE_ABOVE,,,,,,0,0,0,0,1,0,GRD_12_HGH_SCHL,2,MORE_THN_15_LESS_THEN_20K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
611,39,F,080770007003,OTHER,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,,,,,,,,,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
11353,64,F,080770007003,OTHER,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
13982,64,F,080770007003,MYSELF,ONE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_1_3,1,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,RARELY,NEVER,NEVER,NEVER
8932,60,F,080770007003,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,,,,,,,,,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
2231,64,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,MORE_THN_25_LESS_THEN_35K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
2149,46,M,080770007003,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",HSNG_UNSURE,0,0,0,0,0,0,0,1,SMTM_TRUE,SMTM_TRUE,YES,NO,NEVER,RARELY,NEVER,NEVER,SOMETIMES
1097,7,M,080770007003,MY_CHILD,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",8,MORE_THN_20_LESS_THEN_25K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
13033,13,M,080770007003,MY_CHILD,ONE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,"","","","",,,,,,,,,"","","","","","","","",""
7837,73,M,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_4,1,MORE_THN_25_LESS_THEN_35K,STDY_HSNG,1,0,0,0,0,0,0,0,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
16940,60,F,080770007003,OTHER,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,GRD_12_HGH_SCHL,2,MORE_THN_20_LESS_THEN_25K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
1567,27,F,080770007003,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,RARELY,NEVER,NEVER,RARELY
14719,61,F,080770007003,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","",LESS_THN_10K,HSNG_UNSURE,0,0,0,0,0,0,0,1,SMTM_TRUE,SMTM_TRUE,YES,"","","","","",""
10226,47,F,080770007003,ANOTHER_ADULT_CARE,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",5,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
19320,60,F,080770007003,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","",LESS_THN_10K,HSNG_UNSURE,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,YES,NEVER,FREQUENTLY,NEVER,RARELY,ALWAYS
12977,7,M,080770007003,MY_CHILD,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,,,,,,,,,"","","","","","","","",""
15718,45,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",2,"",STDY_HSNG,0,0,0,0,0,0,0,1,OFTEN_TRUE,OFTEN_TRUE,NO,YES,NEVER,NEVER,NEVER,NEVER,RARELY
17263,33,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,0,0,0,0,1,0,0,0,0,0,1,CLG_1_3,3,MORE_THN_75K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,SOMETIMES
13891,32,M,080770007003,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
18371,57,M,080770007003,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",2,MORE_THN_10_LESS_THEN_15K,STDY_HSNG,0,0,0,0,0,1,0,0,SMTM_TRUE,SMTM_TRUE,NO,NO,NEVER,RARELY,NEVER,NEVER,NEVER
6629,24,M,080770007003,OTHER,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",5,MORE_THN_35_LESS_THEN_50K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,RARELY
2733,16,F,080770007003,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,0,0,0,0,1,0,0,0,0,0,1,"","","",STDY_HSNG,,,,,,,,,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
12986,15,F,080770007003,MY_CHILD,ONE,NONE_OF_THE_ABOVE,0,0,0,0,1,0,0,0,0,0,1,"","","",STDY_HSNG,,,,,,,,,"","","","","","","","",""
15713,26,F,080770007003,MYSELF,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,CLG_1_3,1,MORE_THN_35_LESS_THEN_50K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,SOMETIMES
6839,29,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",2,MORE_THN_35_LESS_THEN_50K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,RARELY,NEVER,NEVER,RARELY
4966,65,M,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,MORE_THN_10_LESS_THEN_15K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
59,10,M,080770007003,MY_CHILD,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",4,"",STDY_HSNG,0,0,0,0,0,1,0,0,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,"",NEVER,"",NEVER
163,59,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,,,,,,,"",6,LESS_THN_10K,HSNG_UNSURE,,,,,,,,,SMTM_TRUE,NEVER_TRUE,"",NO,SOMETIMES,"",NEVER,SOMETIMES,FRLY_OFTN
7230,26,M,080770007003,MYSELF,ZERO,YES_ONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,MORE_THN_10_LESS_THEN_15K,STDY_HSNG,0,0,0,0,0,0,0,1,SMTM_TRUE,SMTM_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
2964,1,F,080770007003,MY_CHILD,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,MORE_THN_35_LESS_THEN_50K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
839,1,F,080770007003,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,,,,,,,,,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
14953,63,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",2,MORE_THN_10_LESS_THEN_15K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
1130,68,M,080770007003,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,1,0,0,0,0,1,0,0,0,1,0,CLG_1_3,"",MORE_THN_10_LESS_THEN_15K,"",,,,,,,,,"","","","","","","","",""
11338,47,M,080770007003,MYSELF,ONE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,"",2,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
1388,64,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_1_3,1,MORE_THN_35_LESS_THEN_50K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
15570,49,F,080770007003,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_1_3,"","",STDY_HSNG,,,,,,,,,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
13098,49,F,080770007003,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_1_3,4,MORE_THN_10_LESS_THEN_15K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,YES,NEVER,FREQUENTLY,FREQUENTLY,FREQUENTLY,RARELY
14410,35,M,080770007003,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_4,3,MORE_THN_25_LESS_THEN_35K,NO_STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,YES,NO,NEVER,NEVER,NEVER,FREQUENTLY,NEVER
10267,77,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_1_3,2,MORE_THN_25_LESS_THEN_35K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
18594,55,M,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,0,0,0,0,1,0,GRD_12_HGH_SCHL,1,MORE_THN_35_LESS_THEN_50K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,SOMETIMES
10769,49,M,080770007003,ANOTHER_ADULT_CARE,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",2,MORE_THN_35_LESS_THEN_50K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
10215,28,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
502,47,F,080770007003,MYSELF,ONE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_1_3,3,LESS_THN_10K,HSNG_UNSURE,0,0,0,0,0,0,0,1,OFTEN_TRUE,SMTM_TRUE,YES,NO,NEVER,NEVER,NEVER,NEVER,FRLY_OFTN
18777,47,F,080770007003,OTHER,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
6123,67,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,MORE_THN_10_LESS_THEN_15K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,FREQUENTLY,NEVER,FRLY_OFTN,FRLY_OFTN
13985,48,F,080770007003,MYSELF,ONE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_1_3,1,MORE_THN_10_LESS_THEN_15K,STDY_HSNG,1,0,0,0,0,0,0,0,OFTEN_TRUE,OFTEN_TRUE,NO,NO,NEVER,FRLY_OFTN,RARELY,RARELY,SOMETIMES
5228,70,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_4,2,MORE_THN_75K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,RARELY,NEVER
15473,58,M,080770007003,OTHER,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
14094,71,M,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,GRD_9_11,"","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,ALWAYS
14340,63,M,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,0,0,0,0,1,0,GRD_12_HGH_SCHL,0,MORE_THN_10_LESS_THEN_15K,STDY_HSNG,1,0,0,0,0,0,0,0,SMTM_TRUE,SMTM_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,RARELY
17516,26,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_4,,MORE_THN_50_LESS_THEN_75K,STDY_HSNG,1,0,0,0,0,0,0,0,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,RARELY,RARELY
7796,66,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_4,0,MORE_THN_35_LESS_THEN_50K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,RARELY
16124,36,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_1_3,2,MORE_THN_10_LESS_THEN_15K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,RARELY,NEVER,RARELY,SOMETIMES
6773,38,F,080770007003,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,GRD_12_HGH_SCHL,"","",STDY_HSNG,,,,,,,,,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
10158,38,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,GRD_12_HGH_SCHL,2,MORE_THN_20_LESS_THEN_25K,STDY_HSNG,0,0,0,0,0,0,0,1,SMTM_TRUE,SMTM_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
17508,68,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_1_3,2,MORE_THN_35_LESS_THEN_50K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,RARELY,""
7057,42,M,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,GRD_9_11,"",LESS_THN_10K,STDY_HSNG,,,,,,,,,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
13614,41,M,080770007003,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
6517,50,F,080770007003,OTHER,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,"",NO,"","","","",""
764,49,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,SMTM_TRUE,SMTM_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,SOMETIMES
9270,67,M,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_4,2,MORE_THN_50_LESS_THEN_75K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,YES,NO,NEVER,NEVER,NEVER,NEVER,NEVER
7544,46,F,080770007003,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",0,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,SMTM_TRUE,SMTM_TRUE,YES,YES,"","","","",""
10181,39,F,080770007003,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",2,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,RARELY,NEVER,SOMETIMES,FRLY_OFTN
5508,58,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,YES,NO,NEVER,NEVER,NEVER,NEVER,RARELY
10217,1,F,080770007003,MY_CHILD,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_4,3,MORE_THN_75K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
17135,2,M,080770007003,MY_CHILD,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",5,MORE_THN_75K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
4156,50,M,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",3,MORE_THN_50_LESS_THEN_75K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
14542,25,F,080770007003,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,0,0,0,0,0,0,0,1,"","",YES,NO,"","","","",""
6404,26,F,080770007003,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",3,"",STDY_HSNG,0,0,0,0,0,0,0,1,SMTM_TRUE,NEVER_TRUE,YES,NO,NEVER,RARELY,NEVER,RARELY,FRLY_OFTN
5110,60,M,080770007003,MYSELF,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,LESS_THN_10K,STDY_HSNG,1,0,0,0,0,0,0,0,SMTM_TRUE,"",NO,YES,NEVER,RARELY,NEVER,NEVER,SOMETIMES
3179,3,M,080770007003,MY_CHILD,ZERO,NONE_OF_THE_ABOVE,0,0,0,0,1,0,0,0,0,1,0,NVR_ATTND_SCHL,1,MORE_THN_20_LESS_THEN_25K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",NEVER
3844,33,F,080770007003,OTHER,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,,,,,,,,,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
15430,29,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,1,CLG_1_3,"","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
9962,1,M,080770007003,MY_CHILD,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",2,MORE_THN_50_LESS_THEN_75K,STDY_HSNG,0,0,1,0,0,0,0,0,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
15687,23,F,080770007003,MYSELF,ONE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_1_3,1,LESS_THN_10K,STDY_HSNG,1,0,0,0,0,0,0,0,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,RARELY,NEVER,RARELY,FRLY_OFTN
6036,0,M,080770007003,OTHER,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,,,,,,,,,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
18235,0,M,080770007003,MY_CHILD,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",2,MORE_THN_20_LESS_THEN_25K,HSNG_UNSURE,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,SOMETIMES
681,56,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,RARELY
1758,21,F,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,0,0,0,0,1,,,,,,,GRD_12_HGH_SCHL,"","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
8661,37,M,080770007003,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",5,MORE_THN_25_LESS_THEN_35K,STDY_HSNG,0,0,0,0,0,0,0,1,SMTM_TRUE,NEVER_TRUE,YES,YES,NEVER,RARELY,NEVER,RARELY,ALWAYS
4114,57,F,080770007003,MYSELF,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,MORE_THN_20_LESS_THEN_25K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,FRLY_OFTN,NEVER,NEVER,SOMETIMES
15210,61,F,080770017062,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,MORE_THN_15_LESS_THEN_20K,HSNG_UNSURE,0,1,0,0,0,0,1,0,NEVER_TRUE,SMTM_TRUE,YES,NO,NEVER,SOMETIMES,NEVER,RARELY,SOMETIMES
14085,42,F,080770017062,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,GRD_12_HGH_SCHL,3,MORE_THN_20_LESS_THEN_25K,STDY_HSNG,1,0,0,0,0,0,0,0,OFTEN_TRUE,OFTEN_TRUE,YES,YES,NEVER,FRLY_OFTN,NEVER,FRLY_OFTN,FRLY_OFTN
15990,53,F,080770017062,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,1,GRD_12_HIGH_SCHL,0,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,1,0,0,NEVER_TRUE,SMTM_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
8899,12,F,080770017062,OTHER,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
5204,54,M,080770017062,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,YES,"","","","",""
11406,38,F,080770017062,MYSELF,ONE,NONE_OF_THE_ABOVE,0,0,0,0,1,,,,,,,GRD_12_HGH_SCHL,4,MORE_THN_25_LESS_THEN_35K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
4582,20,M,080770017062,OTHER,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,,,,,,,,,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
13130,10,F,080770017062,MY_CHILD,ONE,NONE_OF_THE_ABOVE,0,1,0,0,1,,,,,,,"",4,"",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
15295,47,M,080770017062,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,GRD_1_8,"","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
18369,28,F,080770017062,MYSELF,ZERO,NONE_OF_THE_ABOVE,0,0,0,0,1,0,0,0,0,1,0,GRD_12_HGH_SCHL,"","",HSNG_UNSURE,,,,,,,,,NEVER_TRUE,NEVER_TRUE,NO,"","","","","",""
13912,7,M,080770017062,OTHER,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","","",,,,,,,,,"","","","","","","","",""
18540,9,M,080770017062,MY_CHILD,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",3,MORE_THN_20_LESS_THEN_25K,STDY_HSNG,1,0,0,0,0,0,0,0,SMTM_TRUE,SMTM_TRUE,NO,YES,NEVER,SOMETIMES,SOMETIMES,SOMETIMES,SOMETIMES
659,7,F,080770017062,MY_CHILD,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",3,MORE_THN_15_LESS_THEN_20K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
